,,,,公 民 館 数,,図 書 館 数,,博 物 館 数,,青少年教育施設数,,常設映画館数,,社会体育施設数,,多目的運動広場数,,青少年学級・講座数,,成人一般学級・講座数,,都,,,,,女性学級・講座数,,高齢者学級・講座数,,ボランティア活動の,,スポーツの年間行動者率,,旅行・行楽の年間行動者率,,海外旅行の年間行動者率,,客室稼働率,,一般旅券発行件数,,都
,,,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,道,,,,,（女性人口100万人当たり）,,（人口100万人当たり）,,年間行動者率,,（10歳以上）,,（10歳以上）,,（10歳以上）,, ,,（人口千人当たり）,,道
,単　位,,,館,,館,,館,,所,,館,,施設,,施設,,学級･講座,,学級･講座,,｜,,単　位,,,学級･講座,,学級･講座,,％,,％,,％,,％,,％,,件,,｜
,年　度,,,2011,,2011,,2011,,2011,,2014,,2011,,2011,,2010,,2010,,ド,,年　度,,,2010,,2010,,2011,,2011,,2011,,2011,,2015,,2015,,ド
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,Osaka-fu,,30.1,45,16.3,44,3.9,46,9.3,25,6.6,34,130.0,47,20.3,46,121.4,47,540.8,45,27,27,大 阪 府,Osaka-fu,,42.1,46,17.0,46,20.6,47,62.9,14,73.5,19,10.3,7,87.1,1,29.6,4,27
28,兵庫県,Hyogo-ken,,60.2,41,19.3,43,7.5,38,9.5,23,13.7,11,209.1,44,33.5,41,730.3,25,"7,639.6",5,28,28,兵 庫 県,Hyogo-ken,,491.3,27,288.1,33,25.7,34,62.6,16,75.9,8,10.8,5,71.6,13,28.9,7,28
29,奈良県,Nara-ken,,266.5,12,23.6,37,15.0,12,9.3,24,3.6,47,320.2,37,50.9,37,349.8,38,"2,499.4",23,29,29,奈 良 県,Nara-ken,,606.2,24,267.7,35,27.7,25,64.5,8,76.8,5,10.5,6,63.9,30,27.5,10,29
30,和歌山県,Wakayama-ken,,265.3,13,30.2,23,13.1,18,6.0,38,8.2,27,475.4,27,88.4,20,"1,029.7",17,"4,370.4",10,30,30,和歌山県,Wakayama-ken,,663.1,23,406.1,26,24.2,38,56.9,43,66.0,40,6.2,23,60.4,41,19.3,25,30
31,鳥取県,Tottori-ken,,329.9,6,51.3,4,12.0,22,20.5,1,24.4,3,911.1,2,172.6,1,"2,529.4",5,"10,399.8",2,31,31,鳥 取 県,Tottori-ken,,"4,062.1",3,"1,111.0",5,33.9,4,58.5,36,68.4,33,5.7,27,61.7,36,15.7,36,31
32,島根県,Shimane-ken,,331.5,5,50.6,5,26.7,4,14.0,9,5.7,41,834.3,4,136.2,6,"5,758.3",1,"17,750.3",1,32,32,島 根 県,Shimane-ken,,"8,707.1",1,"2,024.0",1,34.8,2,60.9,26,69.2,32,4.2,37,69.6,15,12.4,44,32
33,岡山県,Okayama-ken,,226.2,16,31.4,20,16.5,10,7.2,33,5.2,44,441.0,30,72.6,25,"1,035.8",16,"4,397.8",9,33,33,岡 山 県,Okayama-ken,,"1,262.7",15,504.8,19,31.3,10,60.3,28,70.7,27,5.5,30,68.4,16,18.9,26,33
34,広島県,Hiroshima-ken,,107.5,31,30.5,22,10.9,27,10.2,18,20.1,6,400.0,33,105.1,15,790.7,24,"3,600.8",14,34,34,広 島 県,Hiroshima-ken,,703.3,21,377.9,29,28.9,19,62.7,15,74.5,12,8.1,11,73.6,9,21.1,19,34
35,山口県,Yamaguchi-ken,,158.8,25,36.1,13,13.2,17,9.7,22,13.5,16,490.3,25,121.4,9,"2,733.3",4,"6,204.6",6,35,35,山 口 県,Yamaguchi-ken,,"1,380.4",12,538.8,17,31.0,13,62.3,17,71.2,25,6.6,18,64.2,28,15.7,37,35
36,徳島県,Tokushima-ken,,420.5,4,37.2,11,12.8,20,7.7,32,6.5,35,511.5,23,87.2,21,375.6,36,"3,988.6",13,36,36,徳 島 県,Tokushima-ken,,"1,034.4",17,496.5,20,24.3,37,57.5,38,66.5,39,5.1,34,63.1,32,16.5,31,36
