,,,,財政力指数,,実質収支比率,,地方債現在高の割合,,経常収支比率,,自主財源の割合,,一般財源の割合,,投資的経費の割合,,地方税割合,,地方交付税割合,,都,,,,,国庫支出金割合,,住 民 税,,固定資産税,,課税対象所得,,民生費割合,,社会福祉費割合,,老人福祉費割合,,児童福祉費割合,,生活保護費割合,,都,,,,,衛生費割合,,労働費割合,,農林水産業費割合,,商工費割合,,土木費割合,,警察費割合,,消防費割合,,教育費割合,,災害復旧費割合,,都,,,,,人件費割合,,扶助費割合,,普通建設事業費割合,,歳出決算総額,,民 生 費,,社会福祉費,,老人福祉費,,児童福祉費,,生活保護費,,都,,,,,衛 生 費,,土 木 費,,警 察 費,,消 防 費,,教 育 費,,社会教育費,,災害復旧費,,公立小学校費,,公立中学校費,,都,,,,,公立高等学校費,,特別支援学校費<公立>,,幼 稚 園 費,,
15,新潟県,Niigata-ken,,0.413,25,1.1,20,175.2,38,94.0,18,56.8,7,41.7,46,16.8,29,17.70,36,19.13,32,15,15,新 潟 県,Niigata-ken,,11.26,33,92.6,30,66.0,15,"2,722.3",35,8.62,47,2.70,46,4.33,42,1.39,46,0.11,44,15,15,新 潟 県,Niigata-ken,,2.81,39,0.34,44,6.01,26,5.70,33,13.80,10,3.48,45,4.57,32,15.34,44,0.94,14,15,15,新 潟 県,Niigata-ken,,19.77,45,0.70,47,15.85,28,"1,133.8",8,192.9,33,51.6,38,207.1,30,410.2,22,"1,588.9",46,15,15,新 潟 県,Niigata-ken,,61.0,21,170.7,4,21.0,34,24.2,22,148.1,24,11.2,26,7.7,11,910.3,11,"1,066.9",10,15,15,新 潟 県,Niigata-ken,,984.0,29,"7,113.7",20,168.2,27,
16,富山県,Toyama-ken,,0.437,24,0.4,37,238.0,3,93.7,19,47.0,21,54.5,35,21.9,12,23.59,24,24.05,27,16,16,富 山 県,Toyama-ken,,10.79,37,109.7,17,71.7,6,"2,867.5",28,11.45,43,3.17,42,5.85,27,2.34,38,0.06,46,16,16,富 山 県,Toyama-ken,,2.92,34,0.67,12,8.28,14,8.26,20,13.72,11,4.72,34,4.83,30,20.59,35,0.25,33,16,16,富 山 県,Toyama-ken,,25.84,34,1.20,44,21.63,8,971.8,21,186.6,39,46.2,45,210.2,26,441.5,13,"1,974.9",5,16,16,富 山 県,Toyama-ken,,54.6,33,141.3,10,23.0,23,23.4,27,155.4,19,18.5,4,2.8,31,842.4,17,940.9,27,16,16,富 山 県,Toyama-ken,,"1,106.3",14,"7,808.9",9,211.3,23,
17,石川県,Ishikawa-ken,,0.446,22,0.3,42,239.0,2,92.8,29,44.2,26,56.2,26,21.3,14,25.92,21,24.56,25,17,17,石 川 県,Ishikawa-ken,,12.44,23,109.9,15,64.6,20,"2,947.3",21,12.91,36,4.52,27,5.80,29,2.33,39,0.25,33,17,17,石 川 県,Ishikawa-ken,,2.63,41,0.56,24,6.45,24,6.33,31,14.64,8,4.62,36,5.02,26,20.56,36,0.35,27,17,17,石 川 県,Ishikawa-ken,,25.43,37,2.06,20,21.00,11,936.4,23,202.7,29,56.5,26,210.4,25,452.4,10,"2,034.7",2,17,17,石 川 県,Ishikawa-ken,,55.4,30,124.5,13,21.1,31,24.0,23,147.6,27,17.0,5,2.8,30,785.2,27,935.2,28,17,17,石 川 県,Ishikawa-ken,,"1,053.3",21,"6,133.3",36,44.5,45,
18,福井県,Fukui-ken,,0.369,31,1.5,13,194.1,25,92.1,35,36.5,41,57.1,21,24.3,5,22.47,26,29.67,13,18,18,福 井 県,Fukui-ken,,18.16,5,105.5,19,76.9,3,"2,851.0",30,11.51,42,3.55,39,4.81,39,2.94,24,0.19,42,18,18,福 井 県,Fukui-ken,,3.04,31,0.48,36,7.93,18,4.78,35,14.78,6,4.91,30,5.96,7,21.23,32,0.89,15,18,18,福 井 県,Fukui-ken,,25.78,35,2.03,21,23.43,3,"1,063.0",12,211.7,23,60.6,22,210.9,23,475.2,5,"1,836.6",20,18,18,福 井 県,Fukui-ken,,56.7,27,140.0,11,27.6,8,29.8,10,176.1,4,19.9,3,6.9,15,884.7,13,"1,000.7",15,18,18,福 井 県,Fukui-ken,,"1,146.9",12,"8,683.9",3,291.8,13,
19,山梨県,Yamanashi-ken,,0.372,30,1.9,9,208.9,13,93.4,23,43.7,28,53.1,37,23.8,6,19.90,30,27.51,19,19,19,山 梨 県,Yamanashi-ken,,13.04,20,101.7,24,66.1,14,"2,938.2",22,10.88,44,3.66,38,4.53,41,2.43,32,0.25,34,19,19,山 梨 県,Yamanashi-ken,,4.17,9,0.62,20,8.55,10,6.43,28,18.97,1,4.50,39,6.48,3,19.59,38,0.17,38,19,19,山 梨 県,Yamanashi-ken,,24.50,39,1.42,39,23.63,2,"1,059.5",13,201.2,30,61.4,21,208.1,29,393.6,32,"1,955.1",6,19,19,山 梨 県,Yamanashi-ken,,79.1,5,161.6,6,25.3,14,32.3,6,160.3,12,13.3,12,1.6,38,840.4,18,956.8,25,19,19,山 梨 県,Yamanashi-ken,,"1,037.3",23,"8,396.4",6,54.4,43,
20,長野県,Nagano-ken,,0.454,21,1.2,18,192.4,29,92.1,35,43.2,29,60.2,13,18.8,20,27.73,19,25.99,23,20,20,長 野 県,Nagano-ken,,12.90,21,99.7,27,63.5,22,"2,893.5",26,13.86,30,4.60,22,6.50,17,2.27,41,0.42,25,20,20,長 野 県,Nagano-ken,,3.08,29,0.65,18,6.77,22,7.09,23,13.63,12,5.11,27,5.78,10,23.93,19,0.70,18,20,20,長 野 県,Nagano-ken,,30.29,12,1.91,28,18.07,18,905.2,26,191.7,34,56.1,28,208.5,28,375.2,38,"1,873.4",12,20,20,長 野 県,Nagano-ken,,58.6,25,117.9,16,20.0,43,29.7,11,147.8,26,14.3,8,4.9,20,797.7,26,964.4,23,20,20,長 野 県,Nagano-ken,,"1,049.1",22,"6,459.7",31,274.1,16,
21,岐阜県,Gifu-ken,,0.510,18,1.4,16,200.9,19,92.5,33,45.2,23,59.1,17,18.3,21,29.81,18,22.50,29,21,21,岐 阜 県,Gifu-ken,,11.35,31,103.1,21,64.7,19,"2,987.9",19,14.01,27,5.32,8,6.00,25,2.43,33,0.25,32,21,21,岐 阜 県,Gifu-ken,,3.20,27,0.50,35,6.15,25,6.35,30,12.55,20,5.68,18,5.07,24,24.39,18,0.63,20,21,21,岐 阜 県,Gifu-ken,,29.97,14,1.53,36,17.67,20,781.6,38,175.6,44,55.6,29,184.5,41,339.0,46,"1,849.1",18,21,21,岐 阜 県,Gifu-ken,,54.0,34,89.7,32,20.7,36,21.1,33,140.0,32,13.1,13,3.3,26,723.1,36,804.5,41,21,21,岐 阜 県,Gifu-ken,,819.1,46,"6,095.6",37,231.1,21,
22,静岡県,Shizuoka-ken,,0.691,7,0.9,24,237.5,4,91.0,41,54.0,10,62.5,5,14.8,35,41.66,6,13.29,40,22,22,静 岡 県,Shizuoka-ken,,11.23,35,121.3,6,76.3,4,"3,101.2",13,14.94,18,5.01,11,6.92,9,2.58,30,0.41,26,22,22,静 岡 県,Shizuoka-ken,,3.77,18,0.44,40,4.29,36,1.57,44,11.69,29,6.54,9,5.33,20,26.44,6,0.35,26,22,22,静 岡 県,Shizuoka-ken,,31.22,8,1.44,37,14.44,31,685.8,44,162.6,47,46.0,46,172.0,44,331.2,47,"1,781.6",28,22,22,静 岡 県,Shizuoka-ken,,52.6,36,87.7,36,20.3,41,20.0,34,119.7,41,7.8,42,2.6,33,598.8,45,723.6,44,22,22,静 岡 県,Shizuoka-ken,,971.8,30,"5,507.6",44,237.1,20,
23,愛知県,Aichi-ken,,0.921,2,0.9,24,218.1,10,93.4,23,66.7,2,60.9,9,10.3,43,50.25,3,3.50,46,23,23,愛 知 県,Aichi-ken,,8.88,45,149.7,2,79.9,2,"3,544.4",3,15.03,16,5.02,10,6.51,16,3.31,17,0.18,43,23,23,愛 知 県,Aichi-ken,,2.15,47,0.37,43,2.97,42,9.23,17,8.50,42,7.11,8,3.82,39,25.16,9,0.02,46,23,23,愛 知 県,Aichi-ken,,30.13,13,1.89,30,10.24,43,687.9,43,180.5,41,49.5,42,188.6,39,395.6,30,"1,820.4",21,23,23,愛 知 県,Aichi-ken,,45.1,43,75.8,42,21.4,30,14.7,45,116.5,45,9.2,37,0.1,46,610.6,44,686.2,47,23,23,愛 知 県,Aichi-ken,,796.3,47,"5,393.8",47,100.3,34,
24,三重県,Mie-ken,,0.561,14,0.9,24,207.8,14,95.8,9,45.1,24,61.1,7,17.9,23,33.71,9,20.41,30,24,24,三 重 県,Mie-ken,,11.77,29,110.3,14,70.6,8,"3,138.4",11,15.60,12,4.93,13,6.70,12,3.43,13,0.43,22,24,24,三 重 県,Mie-ken,,3.66,20,0.67,14,5.42,27,1.79,42,13.21,14,5.51,21,5.52,12,26.00,7,1.36,9,24,24,三 重 県,Mie-ken,,33.29,4,1.67,33,16.55,24,773.7,39,188.3,37,54.0,33,191.3,37,383.4,34,"1,771.4",29,24,24,三 重 県,Mie-ken,,65.6,15,90.5,31,19.9,45,22.8,29,134.2,35,8.2,41,7.3,12,737.4,35,877.7,33,24,24,三 重 県,Mie-ken,,876.4,41,"7,557.4",11,349.7,8,
